# gauge_id= 2 location=( -0.9471000000E+02  0.2928000000E+02 ) num_var=  7
# Stationary gauge
# level, time, q[  1  2  3], eta, aux[  5  6  7]
# file format ascii, time series follow in this file
   02  0.1885592E+05  0.9040718E+01  0.8082085E+00 -0.1304124E+02 -0.6331724E+00  0.2150846E+02  0.1560277E+02  0.9939915E+05
   02  0.1900996E+05  0.9032206E+01  0.6984809E+00 -0.1301089E+02 -0.6416842E+00  0.2139215E+02  0.1545746E+02  0.9941185E+05
   02  0.1916401E+05  0.9024040E+01  0.5997258E+00 -0.1298158E+02 -0.6498503E+00  0.2127515E+02  0.1531417E+02  0.9942441E+05
   02  0.1931806E+05  0.9018275E+01  0.1396722E+01 -0.1300676E+02 -0.6556158E+00  0.2115750E+02  0.1517284E+02  0.9943682E+05
   02  0.1947211E+05  0.9008016E+01  0.1243879E+01 -0.1298310E+02 -0.6658742E+00  0.2103924E+02  0.1503345E+02  0.9944908E+05
   02  0.1962615E+05  0.8998211E+01  0.1101414E+01 -0.1295788E+02 -0.6756792E+00  0.2092041E+02  0.1489595E+02  0.9946122E+05
   02  0.1978020E+05  0.8988864E+01  0.9686285E+00 -0.1293110E+02 -0.6850260E+00  0.2080103E+02  0.1476031E+02  0.9947321E+05
   02  0.1993425E+05  0.8980173E+01  0.8477654E+00 -0.1290352E+02 -0.6937180E+00  0.2068114E+02  0.1462648E+02  0.9948507E+05
   02  0.2008830E+05  0.8972033E+01  0.7377555E+00 -0.1287599E+02 -0.7018572E+00  0.2056079E+02  0.1449444E+02  0.9949680E+05
   02  0.2024234E+05  0.8964330E+01  0.6376034E+00 -0.1284948E+02 -0.7095602E+00  0.2043998E+02  0.1436414E+02  0.9950839E+05
   02  0.2039639E+05  0.8958862E+01  0.1427305E+01 -0.1287372E+02 -0.7150282E+00  0.2031877E+02  0.1423555E+02  0.9951987E+05
   02  0.2055044E+05  0.8949228E+01  0.1275967E+01 -0.1285671E+02 -0.7246628E+00  0.2019716E+02  0.1410864E+02  0.9953121E+05
   02  0.2070449E+05  0.8939746E+01  0.1133849E+01 -0.1284146E+02 -0.7341448E+00  0.2007520E+02  0.1398337E+02  0.9954243E+05
   02  0.2085853E+05  0.8930418E+01  0.1000386E+01 -0.1282775E+02 -0.7434724E+00  0.1995291E+02  0.1385971E+02  0.9955353E+05
   02  0.2101258E+05  0.8921286E+01  0.8750339E+00 -0.1281492E+02 -0.7526045E+00  0.1983030E+02  0.1373763E+02  0.9956451E+05
   02  0.2116663E+05  0.8912654E+01  0.7595762E+00 -0.1280179E+02 -0.7612370E+00  0.1970742E+02  0.1361709E+02  0.9957537E+05
   02  0.2132068E+05  0.8904592E+01  0.6536520E+00 -0.1278750E+02 -0.7692981E+00  0.1958427E+02  0.1349806E+02  0.9958612E+05
   02  0.2147472E+05  0.8897123E+01  0.5564262E+00 -0.1277149E+02 -0.7767672E+00  0.1946088E+02  0.1338052E+02  0.9959675E+05
   02  0.2162877E+05  0.8890217E+01  0.4671330E+00 -0.1275388E+02 -0.7836732E+00  0.1933728E+02  0.1326443E+02  0.9960727E+05
   02  0.2178282E+05  0.8885328E+01  0.1253924E+01 -0.1277768E+02 -0.7885620E+00  0.1921348E+02  0.1314976E+02  0.9961768E+05
   02  0.2193687E+05  0.8876752E+01  0.1110385E+01 -0.1276504E+02 -0.7971388E+00  0.1908950E+02  0.1303648E+02  0.9962799E+05
   02  0.2209091E+05  0.8868440E+01  0.9748178E+00 -0.1275261E+02 -0.8054508E+00  0.1896536E+02  0.1292457E+02  0.9963818E+05
   02  0.2224496E+05  0.8860312E+01  0.8467720E+00 -0.1274130E+02 -0.8135782E+00  0.1884108E+02  0.1281400E+02  0.9964827E+05
   02  0.2239901E+05  0.8852316E+01  0.7260009E+00 -0.1273191E+02 -0.8215746E+00  0.1871667E+02  0.1270474E+02  0.9965826E+05
   02  0.2255306E+05  0.8844626E+01  0.6145578E+00 -0.1272484E+02 -0.8292643E+00  0.1859216E+02  0.1259677E+02  0.9966815E+05
   02  0.2270710E+05  0.8837204E+01  0.5116092E+00 -0.1272000E+02 -0.8366860E+00  0.1846755E+02  0.1249005E+02  0.9967793E+05
   02  0.2286115E+05  0.8830110E+01  0.4164113E+00 -0.1271613E+02 -0.8437806E+00  0.1834287E+02  0.1238457E+02  0.9968762E+05
   02  0.2301520E+05  0.8824792E+01  0.1191798E+01 -0.1274968E+02 -0.8490989E+00  0.1821813E+02  0.1228029E+02  0.9969721E+05
   02  0.2316925E+05  0.8816194E+01  0.1043540E+01 -0.1274910E+02 -0.8576960E+00  0.1809334E+02  0.1217720E+02  0.9970671E+05
   02  0.2332329E+05  0.8808051E+01  0.9030439E+00 -0.1274580E+02 -0.8658396E+00  0.1796852E+02  0.1207527E+02  0.9971611E+05
   02  0.2347734E+05  0.8800351E+01  0.7699364E+00 -0.1274009E+02 -0.8735398E+00  0.1784367E+02  0.1197448E+02  0.9972542E+05
   02  0.2363139E+05  0.8793033E+01  0.6438372E+00 -0.1273290E+02 -0.8808580E+00  0.1771882E+02  0.1187480E+02  0.9973464E+05
   02  0.2378544E+05  0.8786243E+01  0.5268089E+00 -0.1272518E+02 -0.8876472E+00  0.1759397E+02  0.1177621E+02  0.9974377E+05
   02  0.2393948E+05  0.8779897E+01  0.4184107E+00 -0.1271806E+02 -0.8939935E+00  0.1746914E+02  0.1167868E+02  0.9975281E+05
   02  0.2409353E+05  0.8773888E+01  0.3178784E+00 -0.1271242E+02 -0.9000029E+00  0.1734433E+02  0.1158221E+02  0.9976177E+05
   02  0.2424758E+05  0.8768147E+01  0.2245048E+00 -0.1270868E+02 -0.9057439E+00  0.1721956E+02  0.1148676E+02  0.9977064E+05
   02  0.2440163E+05  0.8762623E+01  0.1376462E+00 -0.1270705E+02 -0.9112670E+00  0.1709483E+02  0.1139232E+02  0.9977942E+05
   02  0.2455567E+05  0.8758157E+01  0.9059840E+00 -0.1273892E+02 -0.9157338E+00  0.1697017E+02  0.1129887E+02  0.9978813E+05
   02  0.2470972E+05  0.8750354E+01  0.7619347E+00 -0.1274733E+02 -0.9235363E+00  0.1684557E+02  0.1120638E+02  0.9979675E+05
   02  0.2486377E+05  0.8742642E+01  0.6248325E+00 -0.1275707E+02 -0.9312485E+00  0.1672105E+02  0.1111483E+02  0.9980529E+05
   02  0.2501782E+05  0.8735012E+01  0.4943194E+00 -0.1276812E+02 -0.9388781E+00  0.1659661E+02  0.1102422E+02  0.9981375E+05
   02  0.2517186E+05  0.8727715E+01  0.3725721E+00 -0.1278007E+02 -0.9461755E+00  0.1647227E+02  0.1093451E+02  0.9982214E+05
   02  0.2532591E+05  0.8720847E+01  0.2593005E+00 -0.1279170E+02 -0.9530436E+00  0.1634802E+02  0.1084570E+02  0.9983045E+05
   02  0.2547996E+05  0.8714508E+01  0.1538640E+00 -0.1280142E+02 -0.9593829E+00  0.1622389E+02  0.1075775E+02  0.9983868E+05
   02  0.2563401E+05  0.8708813E+01  0.5568852E-01 -0.1280760E+02 -0.9650779E+00  0.1609988E+02  0.1067066E+02  0.9984684E+05
   02  0.2578805E+05  0.8703835E+01 -0.3575004E-01 -0.1280929E+02 -0.9700557E+00  0.1597600E+02  0.1058441E+02  0.9985493E+05
   02  0.2594210E+05  0.8699545E+01 -0.1215539E+00 -0.1280621E+02 -0.9743451E+00  0.1585224E+02  0.1049898E+02  0.9986294E+05
   02  0.2609615E+05  0.8695815E+01 -0.2035755E+00 -0.1279845E+02 -0.9780752E+00  0.1572863E+02  0.1041436E+02  0.9987089E+05
   02  0.2625020E+05  0.8692604E+01 -0.2820008E+00 -0.1278685E+02 -0.9812863E+00  0.1560516E+02  0.1033052E+02  0.9987876E+05
   02  0.2640424E+05  0.8689800E+01 -0.3570283E+00 -0.1277304E+02 -0.9840904E+00  0.1548185E+02  0.1024745E+02  0.9988656E+05
   02  0.2655829E+05  0.8687249E+01 -0.4288721E+00 -0.1275908E+02 -0.9866411E+00  0.1535869E+02  0.1016515E+02  0.9989430E+05
   02  0.2671234E+05  0.8685341E+01  0.3302088E+00 -0.1277269E+02 -0.9885498E+00  0.1523571E+02  0.1008358E+02  0.9990197E+05
   02  0.2686639E+05  0.8680839E+01  0.2024855E+00 -0.1276946E+02 -0.9930516E+00  0.1511289E+02  0.1000274E+02  0.9990958E+05
   02  0.2702044E+05  0.8676627E+01  0.8364452E-01 -0.1276910E+02 -0.9972639E+00  0.1499025E+02  0.9922615E+01  0.9991712E+05
   02  0.2717448E+05  0.8672670E+01 -0.2700589E-01 -0.1277148E+02 -0.1001220E+01  0.1486780E+02  0.9843187E+01  0.9992459E+05
   02  0.2732853E+05  0.8668989E+01 -0.1301361E+00 -0.1277576E+02 -0.1004901E+01  0.1474553E+02  0.9764442E+01  0.9993201E+05
   02  0.2748258E+05  0.8665476E+01 -0.2282603E+00 -0.1278062E+02 -0.1008414E+01  0.1462346E+02  0.9686368E+01  0.9993936E+05
   02  0.2763663E+05  0.8662148E+01 -0.3222232E+00 -0.1278505E+02 -0.1011743E+01  0.1450159E+02  0.9608951E+01  0.9994665E+05
   02  0.2779067E+05  0.8659060E+01 -0.4122168E+00 -0.1278834E+02 -0.1014830E+01  0.1437993E+02  0.9532176E+01  0.9995388E+05
   02  0.2794472E+05  0.8656218E+01 -0.4984259E+00 -0.1279047E+02 -0.1017673E+01  0.1425847E+02  0.9456032E+01  0.9996105E+05
   02  0.2809877E+05  0.8653604E+01 -0.5810365E+00 -0.1279168E+02 -0.1020286E+01  0.1413723E+02  0.9380506E+01  0.9996816E+05
   02  0.2825282E+05  0.8651161E+01 -0.6602426E+00 -0.1279269E+02 -0.1022729E+01  0.1401620E+02  0.9305585E+01  0.9997521E+05
   02  0.2840686E+05  0.8648833E+01 -0.7362423E+00 -0.1279419E+02 -0.1025057E+01  0.1389540E+02  0.9231257E+01  0.9998221E+05
   02  0.2856091E+05  0.8646552E+01 -0.8092366E+00 -0.1279694E+02 -0.1027339E+01  0.1377483E+02  0.9157510E+01  0.9998915E+05
   02  0.2871496E+05  0.8644261E+01 -0.8794241E+00 -0.1280151E+02 -0.1029630E+01  0.1365450E+02  0.9084332E+01  0.9999603E+05
   02  0.2886901E+05  0.8641940E+01 -0.9469955E+00 -0.1280798E+02 -0.1031951E+01  0.1353440E+02  0.9011712E+01  0.1000029E+06
   02  0.2917710E+05  0.8638091E+01 -0.1065145E+01 -0.1279577E+02 -0.1035800E+01  0.1329492E+02  0.8868099E+01  0.1000164E+06
   02  0.2933115E+05  0.8635681E+01 -0.1131996E+01 -0.1281272E+02 -0.1038210E+01  0.1317556E+02  0.8797084E+01  0.1000230E+06
   02  0.2948520E+05  0.8633300E+01 -0.1191004E+01 -0.1282671E+02 -0.1040590E+01  0.1305645E+02  0.8726583E+01  0.1000297E+06
   02  0.2963924E+05  0.8630734E+01 -0.1248218E+01 -0.1284374E+02 -0.1043156E+01  0.1293760E+02  0.8656585E+01  0.1000362E+06
   02  0.2979329E+05  0.8627963E+01 -0.1303776E+01 -0.1286382E+02 -0.1045928E+01  0.1281901E+02  0.8587079E+01  0.1000427E+06
   02  0.3010139E+05  0.8623847E+01 -0.1375060E+01 -0.1292306E+02 -0.1050043E+01  0.1258263E+02  0.8449506E+01  0.1000556E+06
   02  0.3025543E+05  0.8620625E+01 -0.1433652E+01 -0.1295064E+02 -0.1053266E+01  0.1246484E+02  0.8381418E+01  0.1000620E+06
   02  0.3040948E+05  0.8617509E+01 -0.1485707E+01 -0.1297389E+02 -0.1056382E+01  0.1234734E+02  0.8313784E+01  0.1000683E+06
   02  0.3056353E+05  0.8614410E+01 -0.1536356E+01 -0.1299686E+02 -0.1059480E+01  0.1223011E+02  0.8246594E+01  0.1000746E+06
   02  0.3071758E+05  0.8611357E+01 -0.1585639E+01 -0.1301920E+02 -0.1062534E+01  0.1211317E+02  0.8179838E+01  0.1000808E+06
   02  0.3087162E+05  0.8608383E+01 -0.1633590E+01 -0.1304051E+02 -0.1065508E+01  0.1199652E+02  0.8113508E+01  0.1000870E+06
   02  0.3102567E+05  0.8605516E+01 -0.1680232E+01 -0.1306049E+02 -0.1068375E+01  0.1188016E+02  0.8047596E+01  0.1000932E+06
   02  0.3117972E+05  0.8602782E+01 -0.1725587E+01 -0.1307890E+02 -0.1071108E+01  0.1176409E+02  0.7982091E+01  0.1000993E+06
   02  0.3133377E+05  0.8600178E+01 -0.1769670E+01 -0.1309585E+02 -0.1073712E+01  0.1164833E+02  0.7916986E+01  0.1001053E+06
   02  0.3148781E+05  0.8597714E+01 -0.1812508E+01 -0.1311131E+02 -0.1076177E+01  0.1153286E+02  0.7852272E+01  0.1001113E+06
   02  0.3164186E+05  0.8595425E+01 -0.1854139E+01 -0.1312491E+02 -0.1078466E+01  0.1141770E+02  0.7787941E+01  0.1001173E+06
   02  0.3179591E+05  0.8593389E+01 -0.1894627E+01 -0.1313584E+02 -0.1080502E+01  0.1130286E+02  0.7723986E+01  0.1001232E+06
   02  0.3194996E+05  0.8591694E+01 -0.1934039E+01 -0.1314321E+02 -0.1082197E+01  0.1118832E+02  0.7660397E+01  0.1001291E+06
   02  0.3210400E+05  0.8590428E+01 -0.1972437E+01 -0.1314621E+02 -0.1083462E+01  0.1107410E+02  0.7597168E+01  0.1001350E+06
   02  0.3225805E+05  0.8589648E+01 -0.2009880E+01 -0.1314453E+02 -0.1084242E+01  0.1096020E+02  0.7534291E+01  0.1001408E+06
   02  0.3241210E+05  0.8589371E+01 -0.2046419E+01 -0.1313832E+02 -0.1084520E+01  0.1084662E+02  0.7471757E+01  0.1001465E+06
   02  0.3256615E+05  0.8589559E+01 -0.2082100E+01 -0.1312841E+02 -0.1084331E+01  0.1073338E+02  0.7409561E+01  0.1001522E+06
   02  0.3272019E+05  0.8590136E+01 -0.2116970E+01 -0.1311604E+02 -0.1083755E+01  0.1062046E+02  0.7347695E+01  0.1001579E+06
   02  0.3287424E+05  0.8590991E+01 -0.2151082E+01 -0.1310277E+02 -0.1082899E+01  0.1050787E+02  0.7286151E+01  0.1001636E+06
