,ch4 x=80m,ch7 x=50m,ch18 x=40m,ch10 x=30.8m,ch20 x=20m,ch23 x=5m
t(s),水位(cm),水位(cm),水位(cm),水位(cm),水位(cm),水位(cm)
130.55,0.005,0.235,0.047,0.232,0.1,-0.125
130.56,0.025,0.245,0.057,0.232,0.13,-0.135
130.57,0.015,0.225,0.047,0.232,0.16,-0.145
130.58,0.025,0.235,0.057,0.222,0.18,-0.165
130.59,0.005,0.215,0.057,0.212,0.19,-0.165
130.6,0.015,0.235,0.077,0.222,0.22,-0.175
130.61,0.005,0.205,0.077,0.222,0.23,-0.175
130.62,0.015,0.205,0.097,0.212,0.23,-0.175
130.63,0.005,0.185,0.107,0.222,0.24,-0.175
130.64,0.015,0.175,0.117,0.212,0.23,-0.175
130.65,-0.005,0.135,0.127,0.222,0.24,-0.175
130.66,0.005,0.135,0.147,0.222,0.23,-0.175
130.67,-0.005,0.115,0.147,0.232,0.23,-0.165
130.68,0.005,0.115,0.167,0.232,0.22,-0.165
130.69,0.005,0.095,0.167,0.242,0.21,-0.155
130.7,0.015,0.095,0.187,0.252,0.21,-0.155
130.71,-0.005,0.075,0.187,0.262,0.21,-0.145
130.72,0.015,0.085,0.187,0.272,0.19,-0.145
130.73,-0.005,0.065,0.187,0.292,0.18,-0.135
130.74,0.005,0.065,0.197,0.292,0.17,-0.135
130.75,-0.015,0.055,0.197,0.302,0.17,-0.125
130.76,0.005,0.075,0.207,0.312,0.15,-0.135
130.77,-0.015,0.055,0.197,0.312,0.15,-0.125
130.78,-0.005,0.075,0.207,0.312,0.12,-0.135
130.79,-0.015,0.065,0.197,0.312,0.12,-0.145
130.8,-0.005,0.085,0.207,0.312,0.1,-0.155
130.81,-0.025,0.075,0.207,0.302,0.1,-0.155
130.82,-0.005,0.095,0.207,0.292,0.09,-0.165
130.83,-0.015,0.095,0.207,0.282,0.09,-0.175
130.84,-0.005,0.115,0.197,0.262,0.09,-0.175
130.85,-0.015,0.115,0.197,0.252,0.1,-0.185
