# gauge_id= 1 location=( -0.8940740833E+02  0.2893238167E+02 ) num_var=  7
# Stationary gauge
# level, time, q[  1  2  3], eta, aux[  5  6  7]
# file format ascii, time series follow in this file
   01 -0.7897977E+05  0.4380321E+02 -0.6857118E+00  0.4686758E+00  0.7525269E-01 -0.6076077E+01 -0.4345303E+01  0.1008024E+06
   01 -0.7890327E+05  0.4380287E+02 -0.6692612E+00  0.4326878E+00  0.7490563E-01 -0.6091459E+01 -0.4355279E+01  0.1008013E+06
   01 -0.7882677E+05  0.4380238E+02 -0.6521900E+00  0.3957091E+00  0.7442277E-01 -0.6106840E+01 -0.4365254E+01  0.1008002E+06
   01 -0.7875028E+05  0.4380177E+02 -0.6343696E+00  0.3578209E+00  0.7380897E-01 -0.6122221E+01 -0.4375229E+01  0.1007990E+06
   01 -0.7867378E+05  0.4380103E+02 -0.6156436E+00  0.3191174E+00  0.7306785E-01 -0.6137603E+01 -0.4385204E+01  0.1007979E+06
   01 -0.7859728E+05  0.4380016E+02 -0.5957761E+00  0.2797062E+00  0.7219484E-01 -0.6152984E+01 -0.4395179E+01  0.1007968E+06
   01 -0.7852079E+05  0.4379918E+02 -0.5754306E+00  0.2397379E+00  0.7121937E-01 -0.6168365E+01 -0.4405155E+01  0.1007957E+06
   01 -0.7844429E+05  0.4379813E+02 -0.5552099E+00  0.1993967E+00  0.7016575E-01 -0.6183747E+01 -0.4415130E+01  0.1007945E+06
   01 -0.7836779E+05  0.4379698E+02 -0.5343299E+00  0.1589010E+00  0.6901700E-01 -0.6199128E+01 -0.4425105E+01  0.1007934E+06
   01 -0.7829130E+05  0.4379581E+02 -0.5137499E+00  0.1191234E+00  0.6784766E-01 -0.6214509E+01 -0.4435080E+01  0.1007923E+06
   01 -0.7821480E+05  0.4379464E+02 -0.4941222E+00  0.8014183E-01  0.6667842E-01 -0.6229890E+01 -0.4445056E+01  0.1007912E+06
   01 -0.7813830E+05  0.4379347E+02 -0.4759805E+00  0.4157195E-01  0.6551294E-01 -0.6245272E+01 -0.4455031E+01  0.1007900E+06
   01 -0.7806180E+05  0.4379231E+02 -0.4595888E+00  0.3003955E-02  0.6434598E-01 -0.6260653E+01 -0.4465006E+01  0.1007889E+06
   01 -0.7798531E+05  0.4379120E+02 -0.4459653E+00 -0.3432899E-01  0.6323904E-01 -0.6276034E+01 -0.4474981E+01  0.1007878E+06
   01 -0.7790881E+05  0.4379021E+02 -0.4358202E+00 -0.6842011E-01  0.6224450E-01 -0.6291416E+01 -0.4484957E+01  0.1007867E+06
   01 -0.7783231E+05  0.4378931E+02 -0.4287667E+00 -0.9935464E-01  0.6134387E-01 -0.6306797E+01 -0.4494932E+01  0.1007856E+06
   01 -0.7775582E+05  0.4378849E+02 -0.4244639E+00 -0.1270675E+00  0.6052510E-01 -0.6322178E+01 -0.4504907E+01  0.1007844E+06
   01 -0.7767932E+05  0.4378778E+02 -0.4229567E+00 -0.1507505E+00  0.5981882E-01 -0.6337560E+01 -0.4514882E+01  0.1007833E+06
   01 -0.7760282E+05  0.4378720E+02 -0.4238641E+00 -0.1701499E+00  0.5923802E-01 -0.6352941E+01 -0.4524858E+01  0.1007822E+06
   01 -0.7752633E+05  0.4378671E+02 -0.4265845E+00 -0.1861004E+00  0.5874818E-01 -0.6368322E+01 -0.4534833E+01  0.1007811E+06
   01 -0.7744983E+05  0.4378625E+02 -0.4308222E+00 -0.2005505E+00  0.5828335E-01 -0.6383704E+01 -0.4544808E+01  0.1007799E+06
   01 -0.7737333E+05  0.4378584E+02 -0.4368470E+00 -0.2132251E+00  0.5788053E-01 -0.6399085E+01 -0.4554783E+01  0.1007788E+06
   01 -0.7729683E+05  0.4378554E+02 -0.4449093E+00 -0.2229996E+00  0.5757384E-01 -0.6414466E+01 -0.4564758E+01  0.1007777E+06
   01 -0.7722034E+05  0.4378532E+02 -0.4548423E+00 -0.2300306E+00  0.5736257E-01 -0.6429847E+01 -0.4574734E+01  0.1007766E+06
   01 -0.7714384E+05  0.4378517E+02 -0.4654118E+00 -0.2344859E+00  0.5721204E-01 -0.6445229E+01 -0.4584709E+01  0.1007754E+06
   01 -0.7706734E+05  0.4378508E+02 -0.4760939E+00 -0.2366267E+00  0.5711366E-01 -0.6460610E+01 -0.4594684E+01  0.1007743E+06
   01 -0.7699085E+05  0.4378504E+02 -0.4867764E+00 -0.2362144E+00  0.5707431E-01 -0.6475991E+01 -0.4604659E+01  0.1007732E+06
   01 -0.7691435E+05  0.4378503E+02 -0.4975118E+00 -0.2339601E+00  0.5707228E-01 -0.6491373E+01 -0.4614635E+01  0.1007721E+06
   01 -0.7683785E+05  0.4378505E+02 -0.5083543E+00 -0.2302141E+00  0.5709304E-01 -0.6506754E+01 -0.4624610E+01  0.1007710E+06
   01 -0.7676136E+05  0.4378510E+02 -0.5192181E+00 -0.2249740E+00  0.5713358E-01 -0.6522135E+01 -0.4634585E+01  0.1007698E+06
   01 -0.7668486E+05  0.4378514E+02 -0.5303291E+00 -0.2190137E+00  0.5718036E-01 -0.6537517E+01 -0.4644560E+01  0.1007687E+06
   01 -0.7660836E+05  0.4378522E+02 -0.5423665E+00 -0.2123984E+00  0.5726267E-01 -0.6552898E+01 -0.4654536E+01  0.1007676E+06
   01 -0.7653186E+05  0.4378533E+02 -0.5550529E+00 -0.2049449E+00  0.5736996E-01 -0.6568279E+01 -0.4664511E+01  0.1007665E+06
   01 -0.7645537E+05  0.4378547E+02 -0.5681568E+00 -0.1967812E+00  0.5750754E-01 -0.6583661E+01 -0.4674486E+01  0.1007653E+06
   01 -0.7637887E+05  0.4378563E+02 -0.5813676E+00 -0.1883401E+00  0.5766546E-01 -0.6599042E+01 -0.4684461E+01  0.1007642E+06
   01 -0.7630237E+05  0.4378580E+02 -0.5945035E+00 -0.1797589E+00  0.5783389E-01 -0.6614423E+01 -0.4694437E+01  0.1007631E+06
   01 -0.7622588E+05  0.4378597E+02 -0.6076326E+00 -0.1712211E+00  0.5801004E-01 -0.6629804E+01 -0.4704412E+01  0.1007620E+06
   01 -0.7614938E+05  0.4378616E+02 -0.6207503E+00 -0.1628708E+00  0.5819602E-01 -0.6645186E+01 -0.4714387E+01  0.1007608E+06
   01 -0.7607288E+05  0.4378635E+02 -0.6339039E+00 -0.1549096E+00  0.5839043E-01 -0.6660567E+01 -0.4724362E+01  0.1007597E+06
   01 -0.7599639E+05  0.4378655E+02 -0.6471641E+00 -0.1473211E+00  0.5858747E-01 -0.6675948E+01 -0.4734337E+01  0.1007586E+06
   01 -0.7591989E+05  0.4378676E+02 -0.6606468E+00 -0.1397168E+00  0.5879792E-01 -0.6691330E+01 -0.4744313E+01  0.1007575E+06
   01 -0.7584339E+05  0.4378699E+02 -0.6744950E+00 -0.1323770E+00  0.5902949E-01 -0.6706711E+01 -0.4754288E+01  0.1007564E+06
   01 -0.7576689E+05  0.4378723E+02 -0.6884979E+00 -0.1255567E+00  0.5926651E-01 -0.6722092E+01 -0.4764263E+01  0.1007552E+06
   01 -0.7569040E+05  0.4378745E+02 -0.7023763E+00 -0.1195904E+00  0.5948425E-01 -0.6737474E+01 -0.4774238E+01  0.1007541E+06
   01 -0.7561390E+05  0.4378763E+02 -0.7159539E+00 -0.1145284E+00  0.5967295E-01 -0.6752855E+01 -0.4784214E+01  0.1007530E+06
   01 -0.7553740E+05  0.4378779E+02 -0.7289297E+00 -0.1104033E+00  0.5982341E-01 -0.6768236E+01 -0.4794189E+01  0.1007519E+06
   01 -0.7546091E+05  0.4378793E+02 -0.7414176E+00 -0.1061315E+00  0.5997112E-01 -0.6783618E+01 -0.4804164E+01  0.1007507E+06
   01 -0.7538441E+05  0.4378807E+02 -0.7534819E+00 -0.1018102E+00  0.6010926E-01 -0.6798999E+01 -0.4814139E+01  0.1007496E+06
   01 -0.7530791E+05  0.4378820E+02 -0.7650996E+00 -0.9736953E-01  0.6024208E-01 -0.6814380E+01 -0.4824115E+01  0.1007485E+06
   01 -0.7523142E+05  0.4378832E+02 -0.7759037E+00 -0.9271273E-01  0.6036166E-01 -0.6829761E+01 -0.4834090E+01  0.1007474E+06
   01 -0.7515492E+05  0.4378843E+02 -0.7857452E+00 -0.8787888E-01  0.6046566E-01 -0.6845143E+01 -0.4844065E+01  0.1007462E+06
   01 -0.7507842E+05  0.4378852E+02 -0.7945661E+00 -0.8289975E-01  0.6055408E-01 -0.6860524E+01 -0.4854040E+01  0.1007451E+06
   01 -0.7500192E+05  0.4378860E+02 -0.8023680E+00 -0.7781094E-01  0.6063652E-01 -0.6875905E+01 -0.4864016E+01  0.1007440E+06
   01 -0.7492543E+05  0.4378868E+02 -0.8091207E+00 -0.7265857E-01  0.6071557E-01 -0.6891287E+01 -0.4873991E+01  0.1007429E+06
   01 -0.7484893E+05  0.4378875E+02 -0.8147834E+00 -0.6749732E-01  0.6079156E-01 -0.6906668E+01 -0.4883966E+01  0.1007418E+06
   01 -0.7477243E+05  0.4378882E+02 -0.8193413E+00 -0.6281459E-01  0.6085348E-01 -0.6922049E+01 -0.4893941E+01  0.1007406E+06
